"Year","Plot","Treat.Code","Species","PC.F","PC.G","PC.s13","Subplot","germ.tot","germ.proj","tot.mort","viable","p.mort","p.germ","n.seed.ind","cov.g","Count","avg.num.per.sub","p.surv","L.sb","L.sa","L.seeds","L"
2016,59,"W","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"Grass",83,25,10,95,0.4,0.873684210526316,20.997601922,40,4,95,0.0421052631578947,0.0053185595567867,0.524210526315789,11.0071639549011,11.0124825144578
2016,59,"W","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"No Grass",88,24,3,95,0.125,0.926315789473684,36.9503254601428,NA,4,95,0.0421052631578947,0.00310249307479224,0.810526315789474,29.9492111624316,29.9523136555064
2016,59,"W","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"Grass",30,21,3,96,0.142857142857143,0.3125,9.3766666699,40,99,99,1,0.6875,0.267857142857143,2.51160714372321,3.19910714372321
2016,59,"W","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"No Grass",34,24,3,96,0.125,0.354166666666667,79.0862222494933,NA,99,99,1,0.645833333333333,0.309895833333333,24.5084907491919,25.1543240825253
2016,59,"W","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"Grass",71,25,4,71,0.16,1,33.7413084288,40,60,71,0.845070422535211,0,0.84,28.342699080192,28.342699080192
2016,59,"W","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"No Grass",67,28,9,71,0.321428571428571,0.943661971830986,11.7202949066466,NA,60,71,0.845070422535211,0.0476096012695894,0.640342052313883,7.50499769424602,7.55260729551561
2016,81,"D","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"No Grass",46,31,13,95,0.419354838709677,0.484210526315789,74.2776132160588,NA,0,95,0,0,0.281154499151104,20.8834851419004,20.8834851419004
2016,81,"D","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"Grass",46,20,3,95,0.15,0.484210526315789,17.7525179886,80,0,95,0,0,0.411578947368421,7.30656266688695,7.30656266688695
2016,81,"D","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"Grass",38,29,18,96,0.620689655172414,0.395833333333333,7.45714285971428,80,91,96,0.947916666666667,0.572699652777778,0.15014367816092,1.11964285752894,1.69234251030672
2016,81,"D","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"No Grass",28,26,10,96,0.384615384615385,0.291666666666667,22.4145833410625,NA,91,96,0.947916666666667,0.671440972222222,0.17948717948718,4.02313034326763,4.69457131548985
2016,81,"D","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"No Grass",12,12,4,71,0.333333333333333,0.169014084507042,49.2347663808,NA,25,71,0.352112676056338,0.292600674469351,0.112676056338028,5.54757931051268,5.84017998498203
